user,product,images,content,score,total,like,dislike
네이버 페이 구매*,무드인핸서 리퀴드 마뜨 얼루어먼트,[],만족너무이뻐요 추천으로 구입했는데 립스틱 고르기힘들었는데 이번에 제대로 산건같아요^^(2020-07-20 15:46:03 에 등록된 네이버 페이 구매평), 아주 좋아요,0,0,0
네이버 페이 구매*,무드인핸서 리퀴드 마뜨 얼루어먼트,[],만족총3개를 주문했는데 다 만족스러워요(2020-07-20 13:08:09 에 등록된 네이버 페이 구매평), 아주 좋아요,0,0,0
네이버 페이 구매*,무드인핸서 리퀴드 마뜨 얼루어먼트,"['http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/93/18/image1/thumbnail_bc6e425b27f21e6a.jpg', 'http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/93/18/image1/thumbnail_bc6e425b27f21e6a.jpg']",유명할만 해요 아주 찰떡색깔(2020-07-19 21:51:13 에 등록된 네이버 페이 구매평), 아주 좋아요,0,0,0
윤슬*,무드인핸서 리퀴드 마뜨 얼루어먼트,"['http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/92/78/image1/thumbnail_0a88ffbf6da9707a.jpg', 'http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/92/78/image2/thumbnail_f2b805006639ebd9.jpg', 'http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/92/78/image3/thumbnail_6cb5de781a6173dd.jpg', 'http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/92/78/image1/thumbnail_0a88ffbf6da9707a.jpg', 'http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/92/78/image2/thumbnail_f2b805006639ebd9.jpg', 'http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/92/78/image3/thumbnail_6cb5de781a6173dd.jpg']",역시 예쁘네요😋 마뜨 얼루어 써보고 너무 색상이 제스타일이라 리퀴드 마뜨로 구입했어요! 진짜 부드럽게 샥샥 발리네요 이런 발림은 처음인거같아요! 지속력도 좋으면 아주 으뜸이겠어용ㅎㅎ 다른 데서 이런 색상 암만 찾아도 조금씩은 달랐는데 가무잡잡하고 누런 피부인 저한테도 잘맞네요.. 세일기간에 잘샀어요🥰, 아주 좋아요,0,0,0
네이버 페이 구매*,무드인핸서 리퀴드 마뜨 얼루어먼트,[],만족예뻐서 재구입합니다(2020-07-17 15:35:24 에 등록된 네이버 페이 구매평), 아주 좋아요,0,0,0
박선*,무드인핸서 리퀴드 마뜨 얼루어먼트,[],차분한 핑크입니다. 질감은 보송  매트로 가볍게 발립니다. 단 질감 때문인지 어플리케이션이 조금 바를때 불편해요 거기가 넘 많이 나와요 쓰고 휴지로 닦고 넣는 저로서는 버리는게 반입니다.다른색 구매 의사 있고요 개인적으로 어플리케이션 리뉴얼 됐음 하네요. 다른 힌스 립도 쓰는데 처음드는 생각입니다. 그외에는 다 맘에 들어요~~, 아주 좋아요,0,0,0
네이버 페이 구매*,무드인핸서 리퀴드 마뜨 얼루어먼트,[],만족배송빠르고 좋아요~~(2020-07-15 23:45:32 에 등록된 네이버 페이 구매평), 아주 좋아요,0,0,0
권해*,무드인핸서 리퀴드 마뜨 얼루어먼트,[],립이오래 가는 편이아닌데 마스크쓰고 음식먹고도 남아있어요.유지력도좋고 오버립하기 너무 좋습니다, 아주 좋아요,0,0,0
네이버 페이 구매*,무드인핸서 리퀴드 마뜨 얼루어먼트,"['http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/92/21/image1/thumbnail_82887044520a2801.jpg', 'http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/92/21/image1/thumbnail_82887044520a2801.jpg']",배송도 빠르고 은은합니다!(2020-07-14 19:26:33 에 등록된 네이버 페이 구매평), 아주 좋아요,0,0,0
박예*,무드인핸서 리퀴드 마뜨 얼루어먼트,[],취져탕탄이, 아주 좋아요,0,0,0
